PN;MachineAuto;AlarmActive;LC_Interrupt;ScrapRequest;ActiveStep;CMD_0A;CMD_0B;CMD_0C;CMD_0D;STS_0A;STS_0B;STS_0C;STS_0D;MSK_0A;MSK_0B;MSK_0C;MSK_0D;DateTime
670124700B;1;0;1;0;29;12;-89458006;8064;172558340;4;-89458006;8064;172558340;-1;-2097153;-11;-19400709;1.75E+12
670124700B;1;0;1;0;30;12;-89458006;8074;174391300;4;-89458006;906;172294148;-1;-2097153;-1;-2623493;1.75E+12
670124700B;1;0;1;0;30;12;-89458006;8074;174391300;4;-89458006;8074;172294148;-1;-2097153;-1;-2623493;1.75E+12
670124700B;1;0;0;0;32;36;-89458006;7946;178585604;36;-89458006;7946;178585604;-1;-2097153;-1;-5;1.75E+12
670124700B;1;0;0;0;3;1;-89458006;7941;178587652;1;-89458006;7941;178585604;-1;-2097153;-1;-5;1.75E+12
670124700B;1;0;0;0;3;1;-89458006;7941;178587652;1;-89458006;7941;178585604;-1;-2097153;-1;-5;1.75E+12
670124700B;1;0;0;0;3;1;-89458006;7941;178587652;1;-89458006;7941;178585604;-1;-2097153;-1;-5;1.75E+12
670124700B;1;0;0;0;3;1;-89458006;7941;178587652;1;-89458006;7941;178585604;-1;-2097153;-1;-5;1.75E+12
670124700B;1;0;0;0;3;1;-89458006;7941;178587652;1;-89458006;7941;178585604;-1;-2097153;-1;-5;1.75E+12
670124700B;1;0;0;0;3;1;-89458006;7941;178587652;1;-89458006;7941;178585604;-1;-2097153;-1;-5;1.75E+12
670124700B;1;0;0;0;3;1;-89458006;7941;178587652;1;-89458006;7941;178585604;-1;-2097153;-1;-5;1.75E+12
670124700B;1;0;0;0;3;1;-89458006;7941;178587652;1;-89458006;7941;178585604;-1;-2097153;-1;-5;1.75E+12
670124700B;1;0;0;0;3;1;-89458006;7941;178587652;1;-89458006;7941;178585604;-1;-2097153;-1;-5;1.75E+12
670124700B;1;0;0;0;3;1;-89458006;7941;178587652;1;-89458006;7941;178585604;-1;-2097153;-1;-5;1.75E+12
670124700B;1;0;0;0;3;1;-89458006;7941;178587652;1;-89458006;7941;178585604;-1;-2097153;-1;-5;1.75E+12
670124700B;1;0;0;0;3;1;-89458006;7941;178587652;1;-89458006;7941;178585604;-1;-2097153;-1;-5;1.75E+12
670124700B;1;0;0;0;3;1;-89458006;7941;178587652;1;-89458006;7941;178585604;-1;-2097153;-1;-5;1.75E+12
670124700B;1;0;0;0;3;1;-89458006;7941;178587652;1;-89458006;7941;178585604;-1;-2097153;-1;-5;1.75E+12
670124700B;1;0;0;0;3;1;-89458006;7941;178587652;1;-89458006;7941;178585604;-1;-2097153;-1;-5;1.75E+12
670124700B;1;0;0;0;3;1;-89458006;7941;178587652;1;-89458006;7941;178585604;-1;-2097153;-1;-5;1.75E+12
670124700B;1;0;0;0;3;1;-89458006;7941;178587652;1;-89458006;7941;178585604;-1;-2097153;-1;-5;1.75E+12
